document_id,original_sentence_id,original_text,simplified_text,orig_tokens,simp_tokens,ratio
FEINA,14,"También hay productos con impuestos específicos o adicionales y tasas diferentes, como es el caso de los licores y cigarrillos.",También hay productos con impuestos específicos o adicionales y tasas diferentes. Como los licores y cigarrillos.,22,18,0.8181818181818182
FEINA,15,"Donde x representa cada uno de los datos y n, representa el total de ellos.",Donde x representa cada uno de los datos y n representa el total de ellos.,17,16,0.9411764705882353
FEINA,16,"El crédito prendario es, por lo general, un financiamiento que se otorga a un plazo corto que va de los 4 a 7 años, dependiendo del porcentaje de financiamiento y del estado y/o mantenimiento del bien ofrecido en garantía.",El crédito prendario es un financiamiento otorgado a un plazo corto. Este va de cuatro a siete años y depende del porcentaje de financiamiento y del estado del bien ofrecido en garantía.,43,34,0.7906976744186046
FEINA,17,"Lamentablemente, lo que la escuela o las instituciones educativas no hacen en el campo de la educación no lo hace nadie más, por eso, finalmente, como que resulta absurdo pensar o desear que los padres eduquen a los hijos y las hijas en el tema económico y de las finanzas y ello se vuelve un círculo vicioso donde ni los unos ni los otros actúan en función de tal propósito.","Lamentablemente, nadie hace lo que la escuela o las instituciones educativas no hacen en el campo de la educación. Es absurdo pensar o desear que los padres eduquen a los hijos y las hijas en temas económico y finanzas. Esta situación se vuelve un círculo vicioso porque ni los unos ni los otros actúan en función de tal propósito.",75,63,0.84
FEINA,18,"Muchas veces la persona emprendedora asume la conducción de su empresa en la que está invirtiendo o utilizando otros recursos que provienen de accionistas; pero, también, existe la alternativa de apoyar la idea de una empresa e invertir sus recursos para que su ejecución sea encargada a personas especializadas para la administración y gestión de su empresa o negocio.",Muchas veces la persona emprendedora asume la conducción de su empresa en la que invierte o utiliza otros recursos que provienen de accionistas.  Pero también existe la alternativa de apoyar la idea de una empresa e invertir sus recursos para que su ejecución sea encargada a personas especializadas para la administración y gestión de su empresa o negocio.,63,60,0.9523809523809523
FEINA,19,"Tiene poca industrialización para sumar valor a sus riquezas básicas y un desarrollo insuficiente en servicios lo que aún no le permite acceder a la clasificación económica del sector secundario (con industrialización avanzada), ni terciario (con desarrollo gravitante en servicios y tecnologías).",Tiene poca industrialización para sumar valor a sus riquezas básicas y poco desarrollo en servicios. Esto no le permite clasificar en el sector secundario ni en el terciario.,48,30,0.625
FEINA,20,"La riqueza, entonces, incluye una gran cantidad de bienes; es la suma de todos los bienes económicos que poseamos en un momento dado de tiempo.","La riqueza incluye la adquisición de gran cantidad de bienes, es la suma de todos los bienes económicos que tenemos en un determinado tiempo.",29,26,0.896551724137931
FEINA,21,"Luego, el mismo Durán señala: En el sentido que nos parece más apropiado, el término mentalidad denominaría el conjunto de modos de reaccionar a que están acostumbradas las personas o grupos; dicho en un lenguaje más técnico, el conjunto de actitudes que poseen esas personas.","Luego, Durán señala: El término mentalidad denominaría el conjunto de modos de reaccionar a que están acostumbradas las personas. Es decir, el conjunto de actitudes que poseen esas personas.",51,34,0.6666666666666666
FEINA,22,"La ventaja de la letra de cambio es que liga a las partes contratantes con un vínculo legal, gozando del privilegio de no necesitar escritura pública que legitime el título u obligación, pues para que tenga validez y autenticidad plena sólo se requiere del cumplimiento de la normativa prevista por la ley.",La ventaja de la letra de cambio es que une las partes contratantes con un vínculo legal. No necesita escritura pública porque solo debe cumplir la normativa de la ley.,55,32,0.5818181818181818
FEINA,23,"En este sentido, la disponibilidad de dinero - en un tiempo, en un momento determinado- se puede concebir de dos maneras: Como la capacidad de adquirir bienes o servicios que contribuyen a nuestro bienestar actual, es decir, a la capacidad de consumir ya.",La disponibilidad de dinero se entiende como la capacidad de adquirir bienes o servicios que contribuyen a nuestro bienestar actual.,49,21,0.42857142857142855
FEINA,24,"Además, Las exportaciones no pagan IVA.","Además, las exportaciones no pagan el impuesto al valor agregado.",8,12,1.5
FEINA,25,"Por ejemplo, si en una feria libre de frutas y verduras hay 10 kilos (kg) de cerezas para vender (oferta) y los compradores disponen de $20.000 para comprarlas (demanda), entonces, el punto de equilibrio (precio) del kilo será de $2.","Por ejemplo, en una feria libre de frutas y verduras. La oferta son diez kilos de cerezas para vender. La demanda son los veinte mil pesos de los compradores para comprarlas. Entonces, el precio o punto de equilibrio del kilo será de dos mil pesos.",54,51,0.9444444444444444
FEINA,26,De igual manera se presenta el concepto de las tarjetas de crédito y la importancia de su tenencia y uso adecuado.,"Igualmente, se presenta el concepto de las tarjetas de crédito y la importancia de tenerlas y usarlas adecuadamente.",22,20,0.9090909090909091
FEINA,27,"La economía, por otro lado, es una disciplina o ciencia social que entre sus variados propósitos permite describir, analizar, racionalizar y proyectar la mejor utilización de los diferentes recursos económicos traducidos en bienes y servicios.","Por otro lado, la economía es una ciencia social que permite describir, analizar, simplificar y proyectar la mejor utilización de diferentes recursos económicos presentados como bienes y servicios.",40,32,0.8
FEINA,28,"Apague las luces, el televisor, la radio y el aire acondicionado de su casa cuando no los utilice.","Apague las luces, el televisor y otros aparatos de su casa cuando no los utilice.",21,17,0.8095238095238095
FEINA,29,"Así mismo, se observa que ninguna facturación por debajo de 1.7 millones arrojaría un resultado favorable si el costo alcanza el 70% de los ingresos.","Además, ninguna facturación menor de millón setecientos resultaría favorable si el costo alcanza el setenta por ciento de los ingresos.",28,22,0.7857142857142857
FEINA,30,"El concepto de riqueza queremos percibirlo aquí, como corresponde a un curso sobre educación financiera, desde el punto de vista económico o de la economía, ya que también puede hablarse de otras riquezas como la espiritual, la moral, la intelectual, la cultural, etc., de las cuales se ocupan otras ciencias sociales.","El concepto de riqueza que incluimos aquí se define desde el punto de vista económico, ya que también puede hablarse de riquezas como la espiritual, la moral, la intelectual, la cultural, etcétera. Otras ciencias sociales se ocupan de estudiar estos tipos de riquezas.",60,50,0.8333333333333334
FEINA,31,Algunos autores incluyen otro factor a considerar como es el intercambio.,Algunos autores incluyen el intercambio como otro factor a considerar dentro de la economía.,12,15,1.25
FEINA,32,"Si el vasallo vendía su feudo debía obtener la aprobación del señor y pagar un impuesto que, a veces, era de tres años de renta.",Si el vasallo vendía su feudo debía obtener la aprobación del señor y pagar un impuesto que a veces era de tres años de renta.,28,26,0.9285714285714286
FEINA,33,"Sin embargo, cuando se invierte, la oportunidad de perder dinero es mayor que cuando se ahorra.","Cuando invierte, la oportunidad de perder dinero es mayor que cuando ahorra.",19,14,0.7368421052631579
FEINA,34,"Fondos de inversión, es la unión de varios inversores que compran, en forma proporcional y conjunta, una cartera de títulos valores (tales como bonos, acciones, etc.), técnicamente diversificada, con el fin de satisfacer sus necesidades y objetivos de inversión.",Un fondo de inversión es la unión de varios inversores que compran una cartera de títulos valores para satisfacer sus necesidades y objetivos.,49,24,0.4897959183673469
FEINA,35,"Obtenga el rendimiento de un bono de $10,000 que paga el 6.",Saque el rendimiento de un bono de diez mil dólares que paga el seis.,14,15,1.0714285714285714
FEINA,36,Use el transporte público o diríjase al trabajo compartiendo el vehículo con un vecino.,Use el transporte público o viaje al trabajo en un carro compartido con alguien.,15,15,1.0
FEINA,37,"Como el aire o el agua de mar, existen en cantidades suficientes, por lo que no es necesario racionarlos entre aquellos que desean utilizarlos.","Existen en cantidades suficientes, como el aire o el agua marina. Por esto, no es necesario racionarlos entre quienes desean utilizarlos.",27,25,0.9259259259259259
FEINA,38,El interés que se recibe por ahorrar dinero es generalmente bajo.,"Generalmente, el interés que se recibe por ahorrar dinero es bajo.",12,13,1.0833333333333333
FEINA,39,"El resultado es aproximado a $300,000 en seis años.",El resultado es aproximadamente trescientos mil dólares en seis años.,11,11,1.0
FEINA,40,Asegúrese de contar con la última versión de su navegador y actualice los parches de seguridad liberados para éste.,Asegúrese de contar con la última versión de su navegador y actualice los parches de seguridad liberados para este.,20,20,1.0
FEINA,41,"Tener éxito financiero no es necesariamente hacerse rico, sino saber planificar y presupuestar sus ingresos y recursos para asegurar un futuro personal y familiar con dignidad y calidad de vida.",Tener éxito financiero es saber planificar y presupuestar sus recursos para asegurar el futuro personal y familiar.,32,18,0.5625
FEINA,42,"Para averiguarlo, anote cada dólar que gasta y cada artículo que compra durante un mes.",Anote cada dólar gastado y cada artículo comprado durante un mes para averiguarlo.,17,14,0.8235294117647058
FEINA,43,Se cree que se está yendo en círculos.,La persona se siente desorientada.,9,6,0.6666666666666666
FEINA,44,He cometido muchos errores errores financieros durante mi vida.,He cometido muchos errores financieros durante mi vida.,10,9,0.9
FEINA,45,"Usted puede alcanzar todas estas metas si lleva un presupuesto, ahorra e invierte y disminuye la cantidad de deudas en las que usted incurre.","Usted puede alcanzar estas metas si lleva un presupuesto, ahorra, invierte y disminuye la cantidad de deudas en las que cae.",26,24,0.9230769230769231
FEINA,46,"Aun así, María se sentía orgullosa de su vestimenta elegante y de su auto último modelo.","Aun así, María se sentía orgullosa de su vestimenta elegante y de su carro último modelo.",18,18,1.0
FEINA,47,"Sea conservador, no se sobreestime; no incluya los ingresos que no está seguro de que vayan a entrar (los bonos, regalos, etc.","Sea prudente, no exagere. No incluya ingresos de los que no está seguro, por ejemplo, bonos, regalos, etcétera.",28,25,0.8928571428571429
FEINA,48,"Las otras personas son las que reciben remuneración quincenal o mensual, a veces semanal.","El segundo tipo de personas son las que reciben una remuneración quincenal, mensual o a veces semanal.",16,19,1.1875
FEINA,49,"Es muy importante estar seguro de su saldo, y conocer si por el uso de algunos ATM se cobra alguna comisión y cuándo será debitado el mismo y así evitar sorpresas desagradables.",Conozca su saldo y si los cajeros automáticos cobran comisión para evitar disgustos.,34,14,0.4117647058823529
FEINA,50,"Para la elaboración del documento se integró un equipo profesional interdisciplinario de trabajo con énfasis en administración de empresas, economía, planificación y educación, que tuvo a su cargo la investigación previa sobre el tema, la caracterización de la población meta o destinataria de la capacitación, la construcción de la estructura de contenidos y finalmente el desarrollo de los mismos.","Se integró un equipo profesional interdisciplinario para la elaboración del documento. Este grupo se especializa en administración de empresas, economía, planificación y educación. También, tuvo a su cargo la investigación previa sobre el tema, la caracterización de la población destinataria de la capacitación, la elaboración de la estructura de contenidos y el desarrollo de estos.",65,63,0.9692307692307692
FEINA,51,"Pero, además de tal aspecto, la educación debe asumir también los impuestos y la tributación como un hecho, fenómeno o mandato legal y social y, como una situación que el ciudadano debe aprender a manejar desde el marco de sus finanzas personales y familiares y también empresariales, ya que ella implica una erogación de dinero que afecta su presupuesto y, que por lo tanto, él o ella debe financiar y equilibrar, con diferentes y sensatas decisiones, que van desde no afectar sensiblemente su mismo presupuesto, hasta economizar haciendo buen uso de los servicios que el Estado le provee y que motiva muchos de los impuestos mencionados.","Pero, además la educación debe asumir los impuestos y la tributación como un hecho, fenómeno o mandato legal y social, como una situación que el ciudadano debe aprender a manejar desde el marco de sus finanzas personales, familiares y empresariales. Ya que implica una distribución de dinero que afecta su presupuesto por lo tanto él o ella debe financiar y equilibrar con sensatas decisiones. Que van desde no afectar sensiblemente su mismo presupuesto hasta economizar al hacer buen uso de los servicios que el Estado le provee y que motiva muchos de los impuestos mencionados.",117,102,0.8717948717948718
FEINA,52,"La Ley N.133 de febrero 2019 indica que la tasa de retención aumentará progresivamente, de 10 % en 2018 hasta llegar a 17 % en 2028.",Según la Ley ciento treinta y tres de febrero dos mil diecinueve indica que la tasa de retención aumentará progresivamente. De diez por ciento en dos mil dieciocho hasta llegar a diecisiete en dos mil veintiocho.,28,38,1.3571428571428572
FEINA,53,"Independientemente de cuánto dinero ganes, tus ahorros (tu riqueza) pueden crecer si comienzas a tratar al dinero como algo que trabaja para ti.",Tus ahorros pueden crecer independientemente de tu salario si tratas al dinero como un trabajador tuyo.,27,17,0.6296296296296297
FEINA,54,"Dinero mercancía: Uso de algunos bienes como dinero, ejemplo: ganado, cuentas, etc.","El dinero mercancía es el uso de algunos bienes como dinero, por ejemplo, ganado, cuentas, entre otros.",18,22,1.2222222222222223
FEINA,55,"También afecta a las rentas del trabajo, que corresponde a los ingresos de los empleados y jubilados por concepto de sueldos, honorarios y pensiones.","También afecta las rentas del trabajo. Estas son los ingresos por salarios, honorarios y pensiones de los empleados y pensionados.",27,23,0.8518518518518519
FEINA,56,"Algunos de los principales motivos para tener un fondo de emergencia son, por ejemplo, gastos médicos, pérdida del empleo y reparaciones del automóvil y del hogar.","Algunos motivos para tener un fondo de emergencia son gastos médicos, desempleo y reparaciones del carro y de la casa.",30,22,0.7333333333333333
FEINA,57,"En lo político, el último momento de unidad de la Europa Occidental cristiana, se realizó en el Imperio de Carlo Magno, quien pudo transmitir la corona imperial a su hijo Luis el Piadoso, en el siglo V de nuestra era.","En lo político, el último momento de unidad de la Europa Occidental cristiana se realizó en el Imperio de Carlo Magno que pudo transmitir la corona imperial a su hijo Luis el Piadoso en el siglo V de nuestra era.",45,42,0.9333333333333333
FEINA,58,Usa las tarjetas de crédito solo para las compras fundamentales o los gastos que puedes pagar el mes siguiente antes de que te cobren intereses.,Usa las tarjetas de crédito solo para compras importantes o gastos a pagar el mes siguiente.,26,17,0.6538461538461539
FEINA,59,"En la subasta conjunta del 22 de enero, la tasa máxima asignada fue del 9,00% para un TP (Título de Propiedad) que vence el 04-09- 2008.","En la subasta del veintidós de enero, la tasa máxima asignada fue del nueve por ciento para un Título de Propiedad a vencer el cuatro de septiembre del dos mil ocho.",31,33,1.064516129032258
FEINA,60,"Asegurarse hoy y hacia el futuro, además de una necesidad por las diferentes contingencias a que se ve enfrentada la vida, los bienes y el bienestar de las personas y de sus familias se ha convertido en una impostergable necesidad, al tiempo que en un tema que requiere educación, ya que no es fácil acceder a tal cultura.","Asegurarse los bienes y el bienestar de las personas y su familia es una necesidad impostergable por los riesgos de la vida. Asimismo, se requiere educación sobre este tema, pues no es fácil acceder a tal cultura.",63,41,0.6507936507936508
FEINA,61,"Para una mayor comprensión de la importancia de la inversión, se presenta el gráfico siguiente que ilustra su relación con los diversos elementos que componen el logro de la libertad, independencia o cultura financiera.","Para comprender la importancia de la inversión, se presenta el gráfico siguiente. Este ilustra su relación con los diversos elementos para el logro de la libertad financiera.",37,30,0.8108108108108109
FEINA,62,"Porque la pulpería de don Rómulo es tan grande y tan buena como la de don Juan y sin embargo, don Juan produce más y vive mejor que don Rómulo.",Porque la pulpería de don Rómulo es igual de grande y buena que la de don Juan. Pero don Juan produce más y vive mejor que don Rómulo.,32,30,0.9375
FEINA,63,"Por ejemplo, puedes pedirle a tu empleador que te pague a través de un depósito directo; de ese modo, tu salario se depositará directamente en tu cuenta de forma electrónica.","Por ejemplo, puedes pedirle el pago mediante un depósito directo a tu empleador. Así, tu salario se depositará directa y electrónicamente en tu cuenta.",34,28,0.8235294117647058
FEINA,64,Van a necesitar trabajarle a los gastos y a los ingresos una y otra vez hasta hacer todos los ajustes sobre la marcha.,Van a necesitar ajustar los gastos e ingresos hasta que estén listos.,24,13,0.5416666666666666
FEINA,65,El cheque no es negociable a partir de la inserción de la cláusula.,El cheque no es negociable por la cláusula.,14,9,0.6428571428571429
FEINA,66,"Serán diferentes, inclusive mayores, pero siempre los problemas van a estar allí a la orden del día.","Los problemas serán diferentes, algunos más graves, pero siempre estarán presentes en la vida diaria.",20,18,0.9
FEINA,67,"En este sentido, se plantea la importancia de desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables al logro de una libertad, independencia y cultura financiera, en el contexto del desarrollo económico y social del país.","En este sentido, es importante desarrollar conocimientos, actitudes, destrezas, valores, hábitos y costumbres favorables para lograr libertad, independencia y cultura financiera en el desarrollo económico y social del país.",44,36,0.8181818181818182
FEINA,68,Dé?cit: Resultado que arroja un balance efectuando el término de un ejercicio que se caracteriza porque existe un saldo correspondiente a egresos que no alcanzaron a ser cubiertos por los ingresos de dicho ejercicio.,El déficit es el resultado emitido por un balance según la realización de un ejercicio. Se caracteriza porque existe un saldo correspondiente a egresos no cubiertos por los ingresos de dicho ejercicio.,38,34,0.8947368421052632
FEINA,69,"Como solicitaste la quiebra, te verán como un riesgo negativo.",Te verán como un riesgo porque solicitaste la quiebra.,12,10,0.8333333333333334
FEINA,70,"La comunidad le ha dado al oro y a la plata un sentido de riqueza tal, que tienen valor en sí mismos, así no estén expresados en moneda; el encanto del oro es eterno y este ha causado fascinación y deseo, a lo largo de la historia, a todos los que lo observan.","Gracias a las comunidades, el oro y la plata tienen valor en sí mismos. El encanto del oro es eterno y causa fascinación y deseo.",59,28,0.4745762711864407
FEINA,71,El consumidor premia con su decisión de compra a la empresa que mejor satisface sus necesidades.,El consumidor premia con su compra a la empresa que mejor satisface sus necesidades.,17,15,0.8823529411764706
FEINA,72,"El papel del estado: se define estado como la organización político-administrativa de la nación, cuya figura, para efectos económicos, es el fisco, ente que representa al conjunto de instituciones del estado relacionadas con lo económico.",El papel del Estado. El Estado es la organización político-administrativa del país. Su figura es el Fisco. Este representa las instituciones económicas del Estado.,41,28,0.6829268292682927
FEINA,73,"Por lo tanto, los rendimientos de mercado del bono son superiores al 10%, en los periodos en que hay ganancias de capital e inferiores al 10% (o incluso negativas) en los periodos en que hay pérdidas de capital.","Por lo tanto, los rendimientos de mercado del bono son superiores al diez por ciento en los periodos en que hay ganancias de capital e inferiores al diez por ciento o incluso negativas en los periodos en que hay pérdidas de capital.",45,44,0.9777777777777777
FEINA,74,Estos plazos de prescripción están contenidos en el artículo 200 de este mismo Código y son:,Estos plazos están en artículo doscientos de ese Código:,17,10,0.5882352941176471
FEINA,75,"Sin embargo, seguramente le dirán que debe tomar posesión de su cargo inmediatamente.","Sin embargo, seguramente le pedirán asumir el cargo inmediatamente.",15,11,0.7333333333333333
FEINA,76,"En este escenario, el precio baja a $1.000 por kg (20.000÷20) como se observa a continuación:","Entonces, el precio baja mil pesos por kilo.",21,10,0.47619047619047616
FEINA,77,"El individuo contento con su ingreso vive dentro de sus medios sin endeudarse en exceso, el que está contento con su auto no se compra uno más caro que le va a costar pagar.",El individuo contento con su ingreso vive dentro de sus medios sin endeudarse en exceso. El que está contento con su auto no se compra uno más caro que le va a costar pagar.,36,36,1.0
FEINA,78,"Los ingresos son aquellos que incrementan la utilidad de la operación, así como los gastos son aquellos que la reducen.",Los ingresos aumentan la ganancia de la transacción. Los gastos reducen la ganancia.,22,15,0.6818181818181818
FEINA,79,También podrías recibir parte de las ganancias como un dividendo.,Podrías recibir parte de las ganancias como una cuota.,11,10,0.9090909090909091
FEINA,80,"Si seguiste el rastro de tus gastos, probablemente habrás encontrado áreas donde el dinero parece desaparecer sin dejar pistas.","Seguir el rastro de los gastos, permiten encontrar las áreas donde se gasta sin notarlo.",21,17,0.8095238095238095
FEINA,81,Cuál es el mejor método dependerá de tus necesidades y objetivos.,El mejor método dependerá de tus necesidades y objetivos.,12,10,0.8333333333333334
FEINA,82,"Cuando se tiene un ahorro debe visualizarse la porción y el tiempo de duración, de dicho ahorro, antes de tomar la decisión de invertir y definir dónde utilizar esos recursos.",Cuando se tiene un ahorro debe visualizarse la porción y el tiempo de duración de dicho ahorro antes de tomar la decisión de invertir y definir dónde utilizar esos recursos.,33,31,0.9393939393939394
FEINA,83,"El análisis de la conceptualización de la educación financiera permite llegar a diversas aproximaciones; pero, en general, los elementos que se consideran tienen relación con los aspectos financieros y su contexto.","El análisis de la educación financiera permite llegar a diversas aproximaciones. Pero, en general, los elementos considerados tienen relación con los aspectos financieros y su contexto.",35,30,0.8571428571428571
FEINA,84,"UO: Utilidad Operacional (Ingresos operacionales - costo de ventas - gastos de administración y ventas) Fuente: Superintendencia de Compañías, Valores y Seguros (2020).",UO significa Utilidad operacional.,31,5,0.16129032258064516
FEINA,85,Usar el dinero del fondo de emergencia es mejor que pedir un préstamo o vender tus inversiones para pagar los gastos de la emergencia.,Usar el dinero del fondo de emergencia es mejor que pedir un préstamo o vender sus inversiones para cubrir los gastos de la emergencia.,25,25,1.0
FEINA,86,"Las familias a su vez, entregan al aparato productivo fuerza de trabajo, recursos naturales, capitales y conocimientos tecnológicos, conjunto que recibe el nombre de recursos productivos.","Las familias entregan al aparato productivo recursos productivos como fuerza de trabajo, recursos naturales, capitales y conocimientos tecnológicos.",31,21,0.6774193548387096
FEINA,87,Alguien sostiene que el origen de toda gran fortuna es una pequeña fortuna y nunca se va a tener la oportunidad de aprender a administrar un millón de dólares si antes no se aprende a administrar.,Alguien sostiene que el origen de toda gran fortuna es una pequeña fortuna y nunca se va a tener la oportunidad de aprender a administrar un millón de dólares si antes no se aprende a administrar un dólar.,37,39,1.054054054054054
FEINA,88,Las actividades de este manual de trabajo te ayudarán a que tengas una idea de cuál es tu situación desde el punto de vista financiero y qué hacer a continuación.,Las actividades de este manual te darán una idea sobre tu situación financiera y qué hacer.,31,17,0.5483870967741935
FEINA,89,"Invertirlo en el pago de deudas, por ejemplo y si queda algo, que ojalá sea así, ahorrarlo.","Invertirlo en el pago de deudas y, si queda algo, ahorrarlo.",21,14,0.6666666666666666
FEINA,90,"En el segundo grupo está la documentación que proviene desde fuera de la empresa y sobre la que esta no ha tenido injerencia alguna, por ejemplo, los formatos de facturas electrónicas de los proveedores.",La documentación externa proviene desde fuera de la empresa como las facturas electrónicas de los proveedores.,37,17,0.4594594594594595
FEINA,91,"Aun cuando tenga computador y equipo de oficina nuevo, ropa de moda y cosas parecidas, se dará cuenta de que tuvo que sacrificar otras cosas para obtener esos artículos.","Aunque tenga computador y equipo de oficina nuevo, ropa de moda y objetos parecidos, usted dejó de comprar otras cosas para obtener esos artículos.",32,27,0.84375
FEINA,92,"En ese mismo sentido, muchas empresas e individuos han adoptado medios de pago electrónicos por su flexibilidad, confiabilidad y conveniencia, lo cual se ha visto reforzado con el desarrollo de Internet y la red mundial (World-Wide-Web) y, así mismo, se le ha dado una nueva dimensión al uso de algunos medios de pago tradicionales y se han abierto nuevos mecanismos de pago electrónicos.","Muchas empresas y personas adoptaron medios de pago electrónicos por su flexibilidad, confiabilidad y conveniencia. Esto lo reforzó el desarrollo del Internet y de la red mundial World Wide Web.",71,33,0.4647887323943662
FEINA,93,El objetivo del capítulo es brindar conceptos básicos que permitan realizar análisis de finanzas a largo plazo y evaluación de rentabilidad.,El objetivo del capítulo es dar conceptos básicos para analizar las finanzas a largo plazo y evaluar la rentabilidad.,22,20,0.9090909090909091
FEINA,94,"El método del Valor Actual (o valor presente) de los flujos de fondos futuros de una inversión es uno de los métodos que nos permiten hacer una evaluación relativa frente a una o más inversiones alternativas.""","Según Gustavo Genoni, el método del Valor Actual o valor presente de los fondos futuros de una inversión es uno de los métodos que nos permiten hacer una evaluación relativa frente a una o más inversiones alternativas.",40,39,0.975
FEINA,95,"Las personas tienen miedo a que estos hechos, que se llaman fenómenos o factores contingenciales de la vida, puedan ocurrir, por lo cual quieren contrarrestar o remediar los efectos mediante un seguro, que por todas las circunstancias que lo explican, lo definen como una inversión y no como un gasto, como muchas personas todavía lo califican, quizás por insuficiente información sobre el mismo.","Las personas temen que ocurran los factores inciertos de la vida. Por esto, quieren contrarrestarlos mediante un seguro y definen a este como una inversión y no como un gasto. Sin embargo, aún muchas personas lo califican como gasto por desinformación.",71,46,0.647887323943662
FEINA,96,"No obstante, se observa un incremento en los gastos acumulados por pagar que debería ser de observación debido a la magnitud que representan en términos nominales.","Sin embargo, vemos un aumento en los gastos acumulados por pagar. Esto debería verse por su tamaño en términos nominales.",28,23,0.8214285714285714
FEINA,97,"Cuida tu cartera: controla las tarjetas de crédito y débito, y nunca las prestes, a nadie.","Cuida tu cartera: controla las tarjetas de crédito y débito, y nunca las prestes a nadie.",20,19,0.95
FEINA,98,La educación financiera debería iniciarse en la escuela para que las personas sean educadas lo más temprano posible.,La educación financiera debe iniciarse en la escuela.,19,9,0.47368421052631576
FEINA,99,Seguridad se refiere a que no lo van a robar.,Seguridad.,11,2,0.18181818181818182
FEINA,100,"Al momento de elegir a tus amigos o contactos en la página web o aplicación de una red social, piensa por qué usas esa red.",Piensa por qué usas la red social antes de elegir a tus amigos en ella.,27,16,0.5925925925925926
FEINA,101,Nunca haga clic en enlaces incluidos en un correo electrónico.,No haga clic en enlaces adjuntos en un correo electrónico.,11,11,1.0
FEINA,102,"Si la resta sale negativa, analizar la lista y estudiar dónde empezar a recortar.","Si la resta es negativa, debe analizar la lista y estudiar qué debe recortar.",16,16,1.0
